abetìnö<-vocal.7.b--abitìnö<-vocal.5.a--abitìnu<-degem.6--abbitìnu,afer.1 leniz.5 vocal.10
nöcìdda<-vocal.5.a--nucìdda<-degem.4--nucìḍḍa,assib.7 vocal.10
nöitàda<-vocal.5.a--nuitàda<-leniz.5--nuitàta<-degem.1--nuttàta,
nöminè<-vocal.5.a--numinè<-palat.5--numinàri,vocal.7.b
nörbè<-vocal.5.a--nurbè<-palat.5--nurbàri<-degem.17--nnurbàri<-afer.1--annurbàri,
nörrìzza<-vocal.5.a--nurrìzza,vocal.10
nötàrö<-vocal.5.a--nutàru,leniz.5
nötìzzia<-vocal.5.a--nutìzzia,leniz.5 vocal.10
növeddö̀n<-vocal.7.b--növiddö̀n<-vocal.5.a--nuviddö̀n<-leniz.14--nuviddùni<-degem.4--nuviḍḍùni,
növità<-vocal.5.a--nuvità,leniz.5 vocal.7.b
nözzentèddö<-vocal.7.b--nözzintèddö<-vocal.5.a--nuzzintèddu<-degem.4--nuzzintèḍḍu,ditt.1.b degem.20
nùmerö<-vocal.7.b--nùmirö<-vocal.5.a--nùmiru,vocal.5.c
ochjètö<-vocal.5.a--ochjètu<-degem.7--occhjètu<-degem.2--occhjèttu,ditt.1.b leniz.19.e
ocèddö<-vocal.5.a--ocèddu<-degem.4--ocèḍḍu,ditt.1.b degem.20
ofë̀sa<-vocal.10--ofìsa<-degem.11--offìsa,
ogètö<-vocal.5.a--ogètu<-degem.9--oggètu<-degem.2--oggèttu,ditt.1.b
olevìtö<-vocal.7.b--olivìtö<-vocal.5.a--olivìtu,leniz.12 leniz.5 vocal.10
olìva,leniz.12 vocal.10
onestà<-vocal.7.b--onistà,
onistà,vocal.7.b
onö̀rë<-vocal.5.c--onùrë<-vocal.2.a--onùri,vocal.13
orchèstra<-deretr.3--orchèṣṭṛa,ditt.1.b
orechjìna<-vocal.7.b--orichjìna<-degem.7--oricchjìna,leniz.19.e vocal.10
oreghjö̀n<-leniz.19.e--orechjö̀n<-leniz.14--orechjùni<-degem.7--orecchjùni,
orë̀ghja<-vocal.10--orìghja<-leniz.19.e--orìchja<-degem.7--orìcchja,
organètö<-vocal.5.a--organètu<-degem.2--organèttu,ditt.1.b
otantë̀na<-vocal.10--otantìna<-degem.2--ottantìna,leniz.5
otö̀verö<-vocal.7.b--otö̀virö<-vocal.5.c--otùvirö<-vocal.5.a--otùviru<-degem.2--ottùviru,
otö̀vrö<-vocal.5.c--otùvrö<-vocal.5.a--otùvru<-degem.2--ottùvru,
ö̀mbra<-vocal.5.c--ùmbra,
ö̀nda<-vocal.5.c--ùnda,
ö̀ngiö<-vocal.5.c--ùngiö<-inf.3.b.2--ùngiri,assib.10
ö̀nza<-vocal.5.c--ùnza,
ö̀ra<-vocal.5.c--ùra,
ö̀rsö<-vocal.5.c--ùrsö<-vocal.5.a--ùrsu,
ö̀trö<-vocal.5.c--ùtrö<-vocal.5.a--ùtru<-deretr.1--ùṭṛu,
pacefichè<-vocal.7.b--pacifichè<-palat.1--pacificàri,assib.4 leniz.1 vocal.7.b
paciènzia<-ditt.1.b--pacènzia,assib.6.d
pacièrö<-vocal.9.a--pacièri<-ditt.1.b--pacèri,assib.6.d
pacènzia,assib.5 ditt.1.b
padeddàda<-vocal.7.b--padiddàda<-leniz.5--padiddàta<-degem.4--padiḍḍàta,
padèdda<-degem.4--padèḍḍa,ditt.1.b
paghjièra<-ditt.1.b--paghjèra<-degem.9--pagghjèra,
paghjö̀në<-vocal.5.c--paghjùnë<-vocal.2.a--paghjùni<-degem.9--pagghjùni,leniz.14
paghjuòö<-vocal.5.a--paghjuòu<-leniz.12--paghjuòlu<-ditt.2.b--paghjòlu<-degem.9--pagghjòlu,
paghjàzzö<-vocal.5.a--paghjàzzu<-degem.9--pagghjàzzu,
paghjèta<-degem.9--pagghjèta<-degem.2--pagghjètta,ditt.1.b
pagö̀ra<-vocal.5.c--pagùra,
paisàn<-leniz.13.b--paisànu,
palangö̀n<-leniz.14--palangùni,leniz.12
palangàna,leniz.12
palangàrö<-vocal.5.a--palangàru,leniz.12
palantàrö<-vocal.5.a--palantàru,leniz.12
palesè<-vocal.7.b--palisè<-palat.5--palisàri,leniz.12
paletö̀n<-vocal.7.b--palitö̀n<-leniz.14--palitùni<-degem.2--palittùni,leniz.12
paletàda<-vocal.7.b--palitàda<-leniz.5--palitàta<-degem.2--palittàta,leniz.12
palë̀ta<-vocal.10--palìta<-degem.2--palìtta,leniz.12
palitò<-degem.2--palittò,leniz.12 vocal.7.b
palö̀mba<-vocal.5.c--palùmba<-dissim.1--palùmma,leniz.12
palö̀mbö<-vocal.5.c--palùmbö<-vocal.5.a--palùmbu<-dissim.1--palùmmu,leniz.12
palàda<-leniz.5--palàta,leniz.12
palànga,leniz.12
palàzzö<-vocal.5.a--palàzzu,leniz.12
palïàda<-leniz.5--palïàta,leniz.12
palïè<-palat.10--palïàri,leniz.12
palïòtö<-vocal.5.a--palïòtu,ditt.2.b leniz.12
palòte<-vocal.8.a--palòtu<-degem.2--palòttu,ditt.2.b leniz.12
palömbàrö<-vocal.5.a--palumbàru<-dissim.1--palummàru,leniz.12
pampanïè<-palat.10--pampanïàri,ditt.1.b
pampèra,ditt.1.b
panarìzza,vocal.10
panecòtö<-vocal.7.b--panicòtö<-vocal.5.a--panicòtu<-degem.2--panicòttu,ditt.2.b
panetièrö<-vocal.9.a--panetièri<-vocal.7.b--panitièri<-ditt.1.b--panitèri<-degem.2--panittèri,
panë̀tö<-vocal.5.a--panë̀tu<-vocal.10--panìtu<-degem.2--panìttu<-degem.17--pannìttu,
panièrö<-vocal.5.a--panièru,
pantasïè<-palat.10--pantasïàri,assib.3
pantàn<-leniz.13.b--pantànu,
pantàsemö<-vocal.7.b--pantàsimö<-vocal.5.a--pantàsimu,assib.3
pantòfela<-vocal.8.a--pantòfula,ditt.2.b leniz.12
pantòfelö<-vocal.7.b--pantòfilö<-vocal.5.a--pantòfilu,ditt.2.b leniz.12
pantòfölö<-vocal.5.a--pantòfulu,ditt.2.b leniz.12
panzicàda<-leniz.5--panzicàta<-degem.5--ppanzicàta<-afer.1--appanzicàta,leniz.1 vocal.7.b
panzàda<-leniz.5--panzàta,
panzèta<-degem.2--panzètta,ditt.1.b
panàrö<-vocal.5.a--panàru,
panèssë<-palat.6--panàrisi<-degem.5--ppanàrisi<-afer.1--appanàrisi,
panòtö<-vocal.5.a--panòtu<-degem.2--panòttu,ditt.2.b
papagàddö<-vocal.5.a--papagàddu<-degem.5--pappagàddu<-degem.4--pappagàḍḍu,
papalìnöla<-vocal.5.a--papalìnula,leniz.12 leniz.3 vocal.10
paparinèdda<-degem.4--paparinèḍḍa,ditt.1.b leniz.3 vocal.7.b
papà,leniz.3
papàtö<-vocal.5.a--papàtu,leniz.3 leniz.5 leniz.7
papïè<-palat.10--papïàri,leniz.3
papòchjö<-vocal.5.a--papòchju<-degem.7--papòcchju,ditt.2.b leniz.19.e leniz.3
paracàrö<-vocal.5.a--paracàru<-degem.7--paraccàru,
paradìsö<-vocal.5.a--paradìsu,vocal.10
paradöràrö<-vocal.5.a--paraduràru<-leniz.5--paraturàru,
paragö̀n<-leniz.14--paragùni,
paragönè<-vocal.5.a--paragunè<-palat.5--paragunàri,
parapièitö<-vocal.5.a--parapièitu<-ditt.1.b--parapèitu<-degem.1--parapèttu,
parapìghja<-degem.9--parapìgghja,vocal.10
parcemìn<-vocal.7.b--parcimìn<-leniz.16--parcimìnu,assib.11 vocal.10
parechjè<-vocal.7.b--parichjè<-palat.5--parichjàri<-degem.7--paricchjàri<-degem.5--pparicchjàri<-afer.1--apparicchjàri,
parentièra<-vocal.7.b--parintièra<-ditt.1.b--parintèra,
parentà<-vocal.7.b--parintà<-leniz.7--parintàtu,
parigè<-palat.9--parigiàri<-degem.9--pariggiàri,vocal.7.b
parpaghjö̀n<-leniz.14--parpaghjùni,
parpagnè<-palat.5--parpagnàri,
parparïè<-palat.10--parparïàri,
parpitè<-palat.5--parpitàri,leniz.5 vocal.7.b
parpàgnö<-vocal.5.a--parpàgnu,
parpïàda<-leniz.5--parpïàta,
parpïè<-palat.10--parpïàri,
parratièrö<-vocal.9.a--parratièri<-ditt.1.b--parratèri<-degem.2--parrattèri,
parrinàrö<-vocal.5.a--parrinàru,vocal.7.b
parràda<-leniz.5--parràta,
parrìn<-leniz.16--parrìnu,vocal.10
parròchja<-degem.7--parròcchja,ditt.2.b leniz.19.e
partenìsciö<-vocal.7.b--partinìsciö<-inf.4--partinìri<-degem.5--ppartinìri<-afer.1--appartinìri,vocal.10
partènza,ditt.1.b
partì<-leniz.6--partìtu,
partìda<-leniz.5--partìta,vocal.10
partörèntë<-vocal.5.a--parturèntë<-vocal.2.a--parturènti,ditt.1.b vocal.13
partörìsciö<-vocal.5.a--parturìsciö<-inf.4--parturìri,vocal.10
partùda<-leniz.5--partùta,vocal.5.c
paràböla<-vocal.5.a--paràbula<-degem.6--paràbbula,leniz.12
paràcö<-vocal.5.a--paràcu<-degem.7--paràccu,
paràngöle<-vocal.8.a--paràngölu<-vocal.5.a--paràngulu,leniz.12
parànza,
parè<-palat.5--paràri,
parènza<-degem.5--pparènza<-afer.1--apparènza,ditt.1.b
parèssë<-palat.6--paràrisi,
parïè<-palat.10--parïàri,
parïòtö<-vocal.5.a--parïòtu,ditt.2.b leniz.5
pasciù<-leniz.8--pasciùtu,
passagièrö<-vocal.5.a--passagièru<-ditt.1.b--passagèru<-degem.9--passaggèru,
passamàn<-leniz.13--passamàni,
passamöntàgna<-vocal.5.a--passamuntàgna,
passelö̀n<-vocal.8.a--passulö̀n<-leniz.14--passulùni,leniz.12
passàda<-leniz.5--passàta,
passàgiö<-vocal.5.a--passàgiu<-degem.9--passàggiu,
passè<-palat.5--passàri,
passète<-vocal.8.a--passètu<-degem.2--passèttu,ditt.1.b 
passìgiö<-vocal.5.a--passìgiu<-degem.9--passìggiu,vocal.10
passïàda<-leniz.5--passïàta,assib.3
passïè<-palat.10--passïàri,assib.3 ditt.1.b
passölö̀n<-vocal.5.a--passulö̀n<-leniz.14--passulùni,leniz.12
pasticiòtö<-vocal.5.a--pasticiòtu<-degem.7--pasticciòtu<-degem.2--pasticciòttu,ditt.2.b assib.6.a vocal.7.b
pastö̀n<-leniz.14--pastùni,
pastö̀rë<-vocal.5.c--pastùrë<-vocal.2.a--pastùri,vocal.13
pastàrö<-vocal.5.a--pastàru,
pastìzzö<-vocal.5.a--pastìzzu,vocal.10
pastùra,vocal.5.c
patatèrnö<-vocal.5.a--patatèrnu,ditt.1.b leniz.5
patrö̀n<-leniz.14--patrùni<-deretr.1--paṭṛùni,
patrö̀na<-vocal.5.c--patrùna<-deretr.1--paṭṛùna,
patrö̀nö<-vocal.5.c--patrùnö<-vocal.5.a--patrùnu<-deretr.1--paṭṛùnu,
patrönàtö<-vocal.5.a--patrunàtu<-deretr.1--paṭṛunàtu,leniz.5 leniz.7
patàta,leniz.5
patìsciö<-inf.4--patìri,leniz.5 vocal.10
paumë̀ntö<-vocal.5.a--paumë̀ntu<-vocal.10--paumìntu<-leniz.12--palumìntu<-degem.16--palummìntu,
pavaghjö̀n<-leniz.3--papaghjö̀n<-leniz.14--papaghjùni<-degem.9--papagghjùni<-degem.5--pappagghjùni,
paventïè<-vocal.7.b--pavintïè<-palat.10--pavintïàri,
pavö̀n<-leniz.14--pavùni,
pazzìa,vocal.10
paìsö<-vocal.5.a--paìsu,vocal.10
pecadö̀ra<-vocal.7.b--picadö̀ra<-vocal.5.c--picadùra<-leniz.5--picatùra<-degem.7--piccatùra,
pechè<-vocal.7.b--pichè<-palat.1--picàri<-degem.7--piccàri,
pecà<-vocal.7.b--picà<-leniz.7--picàtu<-degem.7--piccàtu,
pecìdda<-vocal.7.b--picìdda<-degem.7--piccìdda<-degem.4--piccìḍḍa,vocal.10
pedazzïè<-vocal.7.b--pidazzïè<-palat.10--pidazzïàri<-leniz.5--pitazzïàri,
peddizzö̀n<-vocal.7.b--piddizzö̀n<-leniz.14--piddizzùni<-degem.4--piḍḍizzùni,vocal.7.b
peddàda<-vocal.7.b--piddàda<-leniz.5--piddàta<-degem.4--piḍḍàta,
peddìzza<-vocal.7.b--piddìzza<-degem.4--piḍḍìzza,vocal.10
peddïè<-vocal.7.b--piddïè<-palat.10--piddïàri<-degem.4--piḍḍïàri,
peddòta<-vocal.7.b--piddòta<-degem.4--piḍḍòta<-degem.2--piḍḍòtta,ditt.2.b
pedàda<-vocal.7.b--pidàda<-leniz.5--pidàta,
pedàina<-vocal.7.b--pidàina,
pedösgìn<-vocal.8.a--pudösgìn<-vocal.5.a--pudusgìn<-leniz.16--pudusgìnu<-assib.7--puducìnu,vocal.10
pegörö̀n<-vocal.7.b--pigörö̀n<-vocal.5.a--pigurö̀n<-leniz.14--pigurùni<-leniz.1--picurùni,
peitöràö<-vocal.9.b--peitöràli<-vocal.5.a--peituràli<-degem.1--petturàli,
peitörìna<-vocal.5.a--peiturìna<-degem.1--petturìna,vocal.10
peladùra<-vocal.7.b--piladùra<-leniz.5--pilatùra,leniz.12 vocal.5.c
pelandrö̀n<-vocal.7.b--pilandrö̀n<-leniz.14--pilandrùni<-degem.5--ppilandrùni,leniz.12
pelièrö<-vocal.9.a--pelièri<-vocal.8.a--pulièri,leniz.12
peluchièra<-vocal.7.b--piluchièra<-ditt.1.b--piluchèra<-degem.7--pilucchèra,leniz.12 leniz.19.a vocal.11
peluchièrö<-vocal.9.a--peluchièri<-vocal.7.b--piluchièri<-ditt.1.b--piluchèri<-degem.7--pilucchèri,leniz.12 leniz.19.a vocal.11
pelucàra<-vocal.7.b--pilucàra,leniz.1 leniz.12 vocal.11
pelàda<-vocal.7.b--pilàda<-leniz.5--pilàta,leniz.12
pelàgra<-vocal.7.b--pilàgra,leniz.12
pelàströ<-vocal.7.b--pilàströ<-vocal.5.a--pilàstru<-deretr.3--pilàṣṭṛu,leniz.12
pelïè<-vocal.7.b--pilïè<-palat.10--pilïàri,leniz.12
pelöcàn<-vocal.7.b--pilöcàn<-vocal.5.a--pilucàn<-leniz.13--pilucàni,leniz.1 leniz.12
pelùsciö<-vocal.7.b--pilùsciö<-vocal.5.a--pilùsciu,leniz.12 vocal.5.c
pèö<-vocal.13--pèi<-degem.20--pèḍḍi,
pendìna<-vocal.7.b--pindìna<-dissim.2--pinnìna,vocal.10
pendölàrë<-vocal.7.b--pindölàrë<-vocal.5.a--pindulàrë<-vocal.2.a--pindulàri<-dissim.2--pinnulàri,leniz.12 vocal.13
penichèssë<-vocal.7.b--pinichèssë<-palat.2--pinicàrisi<-degem.5--ppinicàrisi<-degem.17--ppinnicàrisi,leniz.1 vocal.7.b
penicö̀n<-vocal.7.b--pinicö̀n<-leniz.14--pinicùni<-degem.17--pinnicùni,leniz.1 vocal.7.b
penö̀n<-vocal.7.b--pinö̀n<-leniz.14--pinùni<-degem.17--pinnùni,
penuòria<-vocal.7.b--pinuòria<-ditt.2.b--pinòria,
penàchjö<-vocal.7.b--pinàchjö<-vocal.5.a--pinàchju<-degem.7--pinàcchju<-degem.17--pinnàcchju,leniz.19.e
penàda<-vocal.7.b--pinàda<-leniz.5--pinàta<-degem.17--pinnàta,
penè<-vocal.7.b--pinè<-palat.5--pinàri,
penïè<-vocal.7.b--pinïè<-palat.10--pinïàri,
pepitö̀n<-vocal.7.b--pipitö̀n<-leniz.14--pipitùni,leniz.3 leniz.5 vocal.7.b
pepè,leniz.3
pepì,leniz.3
pepìta<-vocal.7.b--pipìta,leniz.3 leniz.5 vocal.10
perciacanèdda<-degem.4--perciacanèḍḍa<-degem.17--perciacannèḍḍa,assib.11 ditt.1.b
perciadö̀rë<-vocal.5.c--perciadùrë<-vocal.2.a--perciadùri<-leniz.5--perciatùri,assib.11 vocal.13
percialàrö<-vocal.7.b--pircialàrö<-vocal.5.a--pircialàru,assib.11 leniz.12
perciapignàtë<-vocal.2.a--perciapignàti,assib.11 leniz.5 vocal.7.b
perciatìnö<-vocal.5.a--perciatìnu,assib.11 leniz.5 vocal.10 leniz.16
perciàlë<-vocal.7.b--pirciàlë<-vocal.2.a--pirciàli,assib.11 leniz.12 vocal.13
perciàlö<-vocal.7.b--pirciàlö<-vocal.5.a--pirciàlu,assib.11 leniz.12
perciölïè<-vocal.7.b--pirciölïè<-vocal.5.a--pirciulïè<-palat.10--pirciulïàri,assib.11 leniz.12
percè<-vocal.7.b--pircè<-palat.7--pirciàri,assib.11
perdö̀nö<-vocal.7.b--pirdö̀nö<-vocal.5.c--pirdùnö<-vocal.5.a--pirdùnu,
perdönè<-vocal.7.b--pirdönè<-vocal.5.a--pirdunè<-palat.5--pirdunàri,
perecòcö<-vocal.7.b--piricòcö<-vocal.5.a--piricòcu,ditt.2.b leniz.1
pergölìtö<-vocal.7.b--pirgölìtö<-vocal.5.a--pirgulìtu,leniz.12 leniz.5 vocal.10
pericölè<-vocal.5.a--periculè<-palat.5--periculàri,leniz.1 leniz.12 vocal.7.b
permètö<-vocal.7.b--pirmètö<-inf.3.a--pirmètiri<-degem.2--pirmèttiri,ditt.1.b
pernigàna<-leniz.1--pernicàna,vocal.7.b
pernisgiàre<-vocal.8.a--pernisgiàru<-vocal.7.b--pirnisgiàru<-assib.6.c--pirniciàru,vocal.7.b
perrièra<-vocal.7.b--pirrièra<-ditt.1.b--pirrèra,
perrïè<-vocal.7.b--pirrïè<-palat.10--pirrïàri,
perseghitè<-vocal.7.b--pirsighitè<-palat.5--pirsighitàri<-leniz.1--pirsichitàri,leniz.5 vocal.7.b
persö̀na<-vocal.7.b--pirsö̀na<-vocal.5.c--pirsùna,
persuàdö<-vocal.7.b--pirsuàdö<-inf.3.a--pirsuàdiri,
persönàlë<-vocal.7.b--pirsönàlë<-vocal.5.a--pirsunàlë<-vocal.2.a--pirsunàli,leniz.12 vocal.13
pertùsö<-vocal.7.b--pirtùsö<-vocal.5.a--pirtùsu,vocal.5.c
perìsciö<-vocal.7.b--pirìsciö<-inf.4--pirìri,vocal.10
pesadìna<-vocal.7.b--pisadìna<-leniz.5--pisatìna,vocal.10
pescë̀tö<-vocal.7.b--piscë̀tö<-vocal.5.a--piscë̀tu<-vocal.10--piscìtu<-degem.2--piscìttu,
peschè<-vocal.7.b--pischè<-palat.1--piscàri,
pesciö̀n<-vocal.7.b--pisciö̀n<-leniz.14--pisciùni,
pesciàrö<-vocal.7.b--pisciàrö<-vocal.5.a--pisciàru,
pestilènza<-vocal.7.b--pistilènza,ditt.1.b leniz.12 vocal.7.b
pesàda<-vocal.7.b--pisàda<-leniz.5--pisàta,
pesè<-vocal.7.b--pisè<-palat.5--pisàri,
pesölïè<-vocal.7.b--pisölïè<-vocal.5.a--pisulïè<-palat.10--pisulïàri,leniz.12
petralïè<-vocal.7.b--pitralïè<-palat.10--pitralïàri<-deretr.1--piṭṛalïàri,leniz.12
petròliö<-vocal.7.b--pitròliö<-vocal.5.a--pitròliu<-deretr.1--piṭṛòliu,ditt.2.b leniz.12
petrösìn<-vocal.7.b--pitrösìn<-vocal.5.a--pitrusìn<-leniz.16--pitrusìnu,vocal.10
petìchjö<-vocal.7.b--pitìchjö<-vocal.5.a--pitìchju<-degem.7--pitìcchju,leniz.19.e leniz.5 vocal.10
petìnia<-vocal.7.b--pitìnia,leniz.5 vocal.10
petìrre<-vocal.7.b--pitìrre<-vocal.7.a--pitìrri,leniz.5 vocal.10
petìrrö<-vocal.7.b--pitìrrö<-vocal.5.a--pitìrru,leniz.5 vocal.10
petìtö<-vocal.7.b--pitìtö<-vocal.5.a--pitìtu<-degem.2--pitìttu,leniz.5 vocal.10
pezzegönïè<-vocal.7.b--pizzigönïè<-vocal.5.a--pizzigunïè<-palat.10--pizzigunïàri<-leniz.1--pizzicunïàri,
pezzicö̀n<-vocal.7.b--pizzicö̀n<-leniz.14--pizzicùni,leniz.1 vocal.7.b
pezzighè<-vocal.7.b--pizzighè<-palat.3--pizzigàri<-leniz.1--pizzicàri,ditt.1.b vocal.7.b
pezzigö̀n<-vocal.7.b--pizzigö̀n<-leniz.14--pizzigùni<-leniz.1--pizzicùni,
pezzigàda<-vocal.7.b--pizzigàda<-leniz.5--pizzigàta<-leniz.1--pizzicàta,vocal.7.b
pezzulàtë<-vocal.7.b--pizzulàtë<-vocal.2.a--pizzulàti,leniz.12 leniz.5 vocal.11
pezzàrö<-vocal.7.b--pizzàrö<-vocal.5.a--pizzàru,
pezzìnö<-vocal.7.b--pizzìnö<-vocal.5.a--pizzìnu,vocal.10 leniz.16
pezzïè<-vocal.7.b--pizzïè<-palat.10--pizzïàri,
pë̀chjö<-vocal.5.a--pë̀chju<-vocal.10--pìchju<-degem.7--pìcchju,leniz.19.e
pë̀gnö<-vocal.5.a--pë̀gnu<-vocal.10--pìgnu,
pë̀na<-vocal.10--pìna<-degem.17--pìnna,
pë̀sa<-vocal.10--pìsa,
pë̀scö<-vocal.5.a--pë̀scu<-vocal.10--pìscu,
pë̀sö<-vocal.5.a--pë̀su<-vocal.10--pìsu,
pë̀ö<-vocal.5.a--pë̀u<-vocal.10--pìu<-leniz.12--pìlu,
piantö̀në<-vocal.5.c--piantùnë<-vocal.2.a--piantùni,vocal.13
piatièra<-ditt.1.b--piatèra<-degem.2--piattèra,
piatà,leniz.5
piatèddö<-vocal.5.a--piatèddu<-degem.4--piatèḍḍu<-degem.2--piattèḍḍu,ditt.1.b degem.20
piatìnö<-vocal.5.a--piatìnu<-degem.2--piattìnu,vocal.10
piazzèta<-degem.2--piazzètta,ditt.1.b
pichjö̀sa<-vocal.5.c--pichjùsa<-degem.7--picchjùsa,leniz.19.e vocal.7.b
piciö̀n<-leniz.14--piciùni<-degem.7--picciùni,
piciòta<-degem.7--picciòta<-degem.2--picciòtta,ditt.2.b vocal.7.b
pighjàda<-leniz.5--pighjàta<-degem.9--pigghjàta,vocal.7.b
pighjè<-palat.5--pighjàri<-degem.9--pigghjàri,vocal.7.b
pignatö̀n<-leniz.14--pignatùni,leniz.5 vocal.7.b
pignucàda<-leniz.5--pignucàta<-degem.7--pignuccàta,vocal.7.b vocal.11
pignàta,leniz.5 vocal.7.b
pignörè<-vocal.5.a--pignurè<-palat.5--pignuràri,vocal.7.b
pigàda<-leniz.5--pigàta<-leniz.1--picàta,vocal.7.b
pinzeddàda<-vocal.7.b--pinziddàda<-leniz.5--pinziddàta<-degem.4--pinziḍḍàta,vocal.7.b
pinzeddïè<-palat.10--pinzeddïàri<-degem.4--pinzeḍḍïàri,vocal.7.b
pinzö̀n<-leniz.14--pinzùni,vocal.7.b
pinzeö<-vocal.5.a--pinzeu<-degem.20--pinzeḍḍu,vocal.7.b
pinölàra<-vocal.5.a--pinulàra<-degem.17--pinnulàra,leniz.12 vocal.7.b
pinölàrö<-vocal.5.a--pinulàru<-degem.17--pinnulàru,leniz.12 vocal.7.b
pipë̀tö<-vocal.5.a--pipë̀tu<-vocal.10--pipìtu<-degem.2--pipìttu,leniz.3 vocal.7.b
pisadìna<-leniz.5--pisatìna,vocal.10 vocal.7.b
pisciacàn<-leniz.13--pisciacàni,vocal.7.b
pisciarèdda<-degem.4--pisciarèḍḍa,ditt.1.b vocal.7.b
pisciàda<-leniz.5--pisciàta,vocal.7.b
pisciàzza,vocal.7.b
piscè<-palat.7--pisciàri,vocal.7.b
piscìö<-vocal.5.a--piscìu,vocal.10 vocal.7.b
pistadìna<-leniz.5--pistatìna,vocal.7.b
pistö̀n<-leniz.14--pistùni,vocal.7.b
pistàgna,vocal.7.b
pistè<-palat.5--pistàri,vocal.7.b
pistòla,ditt.2.b leniz.12 vocal.7.b
pistöletàda<-vocal.7.b--pistölitàda<-vocal.5.a--pistulitàda<-leniz.5--pistulitàta<-degem.2--pistulittàta,leniz.12 leniz.5 vocal.7.b
pistönïè<-vocal.5.a--pistunïè<-palat.10--pistunïàri,vocal.7.b
pisè<-palat.5--pisàri,vocal.7.b
pisèdda<-degem.4--pisèḍḍa,vocal.7.b
pisèddö<-vocal.5.a--pisèddu<-degem.4--pisèḍḍu,ditt.1.b vocal.7.b degem.20
pisèö<-vocal.5.a--pisèu<-degem.20--pisèḍḍu,ditt.1.b vocal.7.b
pitö̀rë<-vocal.5.c--pitùrë<-vocal.2.a--pitùri<-degem.2--pittùri,vocal.7.b vocal.13
piturè<-palat.5--pituràri<-degem.5--ppituràri<-degem.2--ppitturàri<-afer.1--appitturàri,vocal.11 vocal.7.b
pitàfiö<-vocal.5.a--pitàfiu,leniz.5 vocal.7.b
pitànza,leniz.5 vocal.7.b
pitè<-palat.5--pitàri<-degem.2--pittàri,vocal.7.b
pitùra<-degem.2--pittùra,vocal.5.c vocal.7.b
pizzarròbë<-vocal.2.a--pizzarròbi<-degem.6--pizzarròbbi<-degem.5--ppizzarròbbi,ditt.2.b vocal.7.b
pizzentö̀n<-vocal.7.b--pizzintö̀n<-leniz.14--pizzintùni,vocal.7.b
pizzö̀n<-leniz.14--pizzùni,vocal.7.b
pizzè<-palat.5--pizzàri,vocal.7.b
pizzòtö<-vocal.5.a--pizzòtu<-degem.2--pizzòttu,ditt.2.b vocal.7.b
piègöra<-vocal.5.a--piègura<-leniz.1--piècura<-ditt.1.b--pècura,
pièitö<-vocal.5.a--pièitu<-ditt.1.b--pèitu<-degem.1--pèttu,
popò,leniz.3
porchespìn<-vocal.8.b--porcuspìn<-leniz.16--porcuspìnu,vocal.10
portafòghjö<-vocal.5.a--portafòghju<-degem.9--portafògghju,ditt.2.b
portamönë̀të<-vocal.5.a--portamunë̀të<-vocal.10--portamunìtë<-vocal.2.a--portamunìti,leniz.5
postàlë<-vocal.2.a--postàli,leniz.12 vocal.13
povarèddö<-vocal.5.a--povarèddu<-degem.4--povarèḍḍu,ditt.1.b degem.20
pö̀dda<-vocal.5.c--pùdda<-degem.4--pùḍḍa,
pö̀mö<-vocal.5.c--pùmö<-vocal.5.a--pùmu,
pö̀nta<-vocal.5.c--pùnta,
pö̀ntö<-vocal.5.c--pùntö<-vocal.5.a--pùntu,
pö̀pa<-vocal.5.c--pùpa<-degem.5--pùppa,
pö̀rpö<-vocal.5.c--pùrpö<-vocal.5.a--pùrpu,
pö̀zza<-vocal.5.c--pùzza,
pö̀zzö<-vocal.5.c--pùzzö<-vocal.5.a--pùzzu,
prachèssë<-palat.2--pracàrisi<-degem.5--ppracàrisi<-afer.1--appracàrisi,leniz.1
prasgë̀<-vocal.10--prasgì<-inf.2--prasgìri<-assib.7--pracìri,
pràsgiö<-inf.3.b.2--pràsgiri<-assib.6.c--pràciri,
pratechë̀zza<-vocal.7.b--pratichë̀zza<-vocal.10--pratichìzza,leniz.1 leniz.5
precacè<-vocal.8.a--prucacè<-palat.7--prucaciàri<-degem.7--prucacciàri,assib.5 leniz.1
precepìzziö<-vocal.7.b--pricipìzziö<-vocal.5.a--pricipìzziu,assib.4 leniz.3 vocal.10
precetö̀rë<-vocal.5.c--precetùrë<-vocal.2.a--precetùri<-degem.2--precettùri,assib.4 vocal.13
precö̀lö<-vocal.7.b--pricö̀lö<-vocal.5.c--pricùlö<-vocal.5.a--pricùlu,leniz.1 leniz.12
precurè<-vocal.8.a--prucurè<-palat.5--prucuràri,leniz.1 vocal.11
precàcia<-vocal.8.a--prucàcia<-degem.7--prucàccia,leniz.1
precòpö<-vocal.5.a--precòpu,ditt.2.b leniz.1 leniz.3
predichè<-vocal.7.b--pridichè<-palat.1--pridicàri,leniz.1 vocal.7.b
predùsgiö<-vocal.8.a--prudùsgiö<-inf.3.b.2--prudùsgiri<-assib.6.c--prudùciri,vocal.5.c
prefessö̀rë<-vocal.5.c--prefessùrë<-vocal.2.a--prefessùri,vocal.13
prefètö<-vocal.5.a--prefètu<-degem.2--prefèttu,ditt.1.b
